"<5.45 23:36:55> [START_TIMER] 1#114#120", -- [1]
"<264.80 23:41:14> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [258]
"<264.80 23:41:14> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [260]
"<265.43 23:41:15> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [261]
"<265.43 23:41:15> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [263]
"<266.84 23:41:16> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [265]
"<266.84 23:41:16> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [267]
"<268.86 23:41:18> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [269]
"<268.86 23:41:18> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [271]
"<270.87 23:41:20> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [273]
"<270.87 23:41:20> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [275]
"<272.91 23:41:22> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [277]
"<272.91 23:41:22> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [279]
"<274.91 23:41:24> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [281]
"<274.91 23:41:24> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [283]
"<276.94 23:41:26> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [285]
"<276.94 23:41:26> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [287]
"<278.96 23:41:28> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [289]
"<278.96 23:41:28> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [291]
"<280.97 23:41:30> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [293]
"<280.97 23:41:30> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [295]
"<282.96 23:41:32> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [297]
"<282.96 23:41:32> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [299]
"<284.98 23:41:34> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [301]
"<284.98 23:41:34> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [303]
"<287.01 23:41:36> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [305]
"<287.03 23:41:36> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [307]
"<289.05 23:41:38> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [309]
"<289.06 23:41:38> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [311]
"<291.09 23:41:40> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [313]
"<291.09 23:41:40> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [315]
"<293.10 23:41:42> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [317]
"<293.10 23:41:42> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [319]
"<295.13 23:41:44> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [321]
"<295.13 23:41:44> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [323]
"<297.16 23:41:46> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [325]
"<297.16 23:41:46> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [327]
"<299.17 23:41:48> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [329]
